TimeStamp,HANDSHAKE,HANDSHAKE
22862919.790598,0.359289,0.410298
22873333.923077,0.678129,0.615063
22883748.055556,0.392506,0.352162
22894162.188034,0.475863,0.689416
22904576.320513,0,1
22914990.452991,0,1
22925404.585470,0.556488,0.101455
22935818.717949,0.406608,0.936146
22946232.850427,0.594459,0.0121449
22956646.982906,0.223186,0.970269
22967061.115385,0.784734,0.0630547
22977475.247863,0.295501,0.888854
22987889.380342,0.660455,0.132007
22998303.512821,0.147349,0.824039
23008717.645299,0.956688,0.153556
23019131.777778,0.244118,0.801697
23029545.910256,0,0.244079
23039960.042735,0.078565,0.723039
23050374.175214,0.98704,0.312961
23060788.307692,0.132178,0.649857
23071202.440171,0.98566,0.400084
23081616.572650,0.134751,0.562306
23092030.705128,0.868521,0.470472
23102444.837607,0,1
23112858.970085,0,1
23123273.102564,0.418972,0.36164
23133687.235043,0.540591,0.689199
23144101.367521,0.529547,0.26952
23154515.500000,0.483233,0.771181
23164929.632479,0.571866,0.191058
23175343.764957,0.441701,0.827869
23185757.897436,0.501772,0.119538
23196172.029915,0.395474,0.916852
23206586.162393,0.672199,0.0495124
23217000.294872,0.323163,1
23227414.427350,0.64546,0.032746
23237828.559829,0.153614,0.925168
23248242.692308,0.928066,0.122633
23258656.824786,0.036381,0.841661
23269070.957265,1,0.197593
23279485.089744,0.150397,0.761929
23289899.222222,0.917693,0.270647
23300313.354701,0.100336,0.694381
23310727.487179,0.861706,0.351745
23321141.619658,0.137734,0.611787
23331555.752137,0.863853,0.421976
23341969.884615,0.274389,0.536057
23352384.017094,0.675284,0.516438
23362798.149573,0.369091,0.436256
23373212.282051,0.627936,0.604933
23383626.414530,0.380278,0.355
23394040.547009,0.524924,0.655749
23404454.679487,0.507621,0.280439
23414868.811966,0.40815,0.771845
23425282.944444,0.542594,0.15186
23435697.076923,0.448437,0.898163
23446111.209402,0.710532,0.0968471
23456525.341880,0.22835,0.961597
23466939.474359,0.743131,0.0739081
23477353.606838,0.366108,0.934092
23487767.739316,0,0.106446
23498181.871795,0,0.86122
23508596.004274,0.834139,0.131341
23519010.136752,0.0202762,0.821544
23529424.269231,0.977174,0.21869
