stamp,x,y,z,qx,qy,qz,qw,vx,vy,vz
261.772000,-0.000316,0.000326,-0.003709,-0.000312,0.000080,-0.003062,0.999995,0.000000,0.000000,0.000000
261.881000,-0.000281,0.000288,-0.003888,-0.000271,0.000025,-0.003044,0.999995,0.000000,0.000000,0.000000
262.085000,-0.000163,0.000186,-0.004045,-0.000279,-0.000027,-0.003117,0.999995,0.000000,0.000000,0.000000
262.384000,-0.000850,0.000695,-0.002506,-0.000363,0.000047,-0.003223,0.999995,0.000000,0.000000,0.000000
262.691000,0.000058,0.001026,-0.003959,-0.000004,-0.000029,-0.002940,0.999996,0.000000,0.000000,0.000000
263.214000,-0.000008,0.000472,-0.003646,-0.000348,-0.000009,-0.003023,0.999995,0.000000,0.000000,0.000000
263.330000,-0.000206,0.001213,-0.002746,-0.000263,-0.000012,-0.003069,0.999995,0.000000,0.000000,0.000000
263.426000,-0.000193,0.000197,-0.003488,-0.000371,0.000030,-0.003148,0.999995,0.000000,0.000000,0.000000
263.807000,-0.000424,0.000734,-0.003809,-0.000167,0.000010,-0.003217,0.999995,0.000000,0.000000,0.000000
264.023000,-0.000194,0.001080,-0.003413,-0.000058,-0.000090,-0.002911,0.999996,0.000000,0.000000,0.000000
264.613000,0.000116,0.000750,-0.003905,-0.000108,-0.000064,-0.002935,0.999996,0.000000,0.000000,0.000000
264.859000,0.000448,0.000648,-0.004039,-0.000166,-0.000078,-0.002777,0.999996,0.000000,0.000000,0.000000
264.992000,0.000213,0.000770,-0.003266,-0.000358,-0.000041,-0.003053,0.999995,0.000000,0.000000,0.000000
265.457000,0.000258,0.000612,-0.003796,-0.000270,-0.000016,-0.002970,0.999996,0.000000,0.000000,0.000000
265.846000,-0.000000,0.000787,-0.003330,-0.000325,0.000038,-0.003071,0.999995,0.000000,0.000000,0.000000
266.002000,0.000221,0.000718,-0.003311,-0.000341,-0.000056,-0.002904,0.999996,0.000000,0.000000,0.000000
266.124000,0.000581,-0.000458,-0.005852,-0.000187,-0.000006,-0.002760,0.999996,0.000000,0.000000,0.000000
266.845000,0.043262,-0.007267,-0.002414,-0.001304,-0.003383,-0.001713,0.999992,0.000000,0.000000,0.000000
266.937000,0.048815,-0.008736,0.001731,-0.001451,-0.004391,0.000321,0.999989,0.000000,0.000000,0.000000
267.248000,0.039892,-0.009547,-0.002075,-0.001817,-0.003399,-0.000594,0.999992,0.000000,0.000000,0.000000
267.433000,0.040509,-0.009170,-0.004879,-0.001773,-0.003452,-0.001095,0.999992,0.000000,0.000000,0.000000
267.639000,0.014775,-0.001081,0.003906,-0.001228,-0.001538,-0.001466,0.999997,0.000000,0.000000,0.000000
267.832000,0.000556,0.000999,-0.003555,-0.000234,-0.000125,-0.002921,0.999996,0.000000,0.000000,0.000000
267.960000,-0.001279,-0.001336,-0.004997,-0.000874,0.000329,-0.003404,0.999994,0.000000,0.000000,0.000000
268.352000,-0.122315,-0.011588,-0.032704,-0.002542,0.003755,-0.006709,0.999967,0.000000,0.000000,0.000000
